ID,CNN,STREET,PCI_Score,From_Street,To_Street,PCI_Change_Date,Treatment_or_Survey,Street_Accepted_For_Maintenance,Functional_Class
7233,5169000,Ellis St,85,04th St \ Market St \ Stockton St,Powell St,9/30/2018,Survey,Yes,Collector
7234,5180000,Ellis St,62,Van Ness Ave,Franklin St,8/27/2018,Survey,Yes,Collector
7235,5181000,Ellis St,63,Franklin St,Gough St,8/27/2018,Survey,Yes,Collector
7236,5182000,Ellis St,64,Gough St,Laguna St,8/27/2018,Survey,Yes,Residential
7237,5183002,Ellis St,85,Quickstep Ln,Inca Ln,8/27/2018,Survey,Yes,Residential
7238,5183001,Ellis St,85,Laguna St,Quickstep Ln,8/27/2018,Survey,Yes,Residential
7239,5184000,Ellis St,83,End,Hollis St,8/26/2018,Survey,Yes,Residential
7240,5185000,Ellis St,83,Hollis St,Webster St,8/26/2018,Survey,Yes,Residential
7241,5188000,Ellis St,72,Steiner St,Pierce St,8/19/2018,Survey,Yes,Residential
7242,5191000,Ellis St,85,Beideman St,Divisadero St,8/19/2018,Survey,Yes,Residential
7243,5190000,Ellis St,85,Scott St,Beideman St,8/19/2018,Survey,Yes,Residential
7244,5189000,Ellis St,85,Pierce St,Scott St,8/19/2018,Survey,Yes,Residential
7245,25139000,Ellis St,100,Leavenworth St,Intersection,5/14/2012,Treatment,No,
7246,24894000,ELLIS ST,100,POWELL ST,Intersection,2/9/2011,Treatment,No,
7247,24900000,ELLIS ST,100,MASON ST,Intersection,2/9/2011,Treatment,No,
7248,25149000,ELLIS ST,100,LARKIN ST,Intersection,1/24/2011,Treatment,No,
7249,5187000,ELLIS ST,67,FILLMORE ST,END,10/29/2008,Survey,No,
7250,5183001,ELLIS ST,80,LAGUNA ST,QUICKSTEP LN,7/9/1997,Survey,Yes,
7251,5183002,ELLIS ST,80,QUICKSTEP LN,INCA LN,7/9/1997,Survey,Yes,
7252,25178000,Ellis St: Polk St Intersection,100,POLK ST,Intersection,10/17/2018,Treatment,No,
7253,26585000,Ellis St: Webster St Intersection,100,WEBSTER ST,Intersection,7/26/2018,Treatment,No,
7254,5196000,Ellsworth St,100,Eugenia Ave,Cortland Ave,11/19/2018,Treatment,Yes,Residential
7255,5200000,Ellsworth St,50,Ogden Ave,Crescent Ave,8/14/2018,Survey,Yes,Residential
7256,5201000,Ellsworth St,83,Crescent Ave,Alemany Blvd \ I-280 S Off Ramp \ I-280 S On Ramp,8/14/2018,Survey,Yes,Residential
7257,5199000,Ellsworth St,85,Tompkins Ave,Ogden Ave,8/14/2018,Survey,Yes,Residential
7258,5195000,Ellsworth St,71,Powhattan Ave,Eugenia Ave,8/9/2018,Survey,Yes,Residential
7259,5194000,Ellsworth St,100,Bernal Heights Blvd,Powhattan Ave,8/9/2018,Survey,Yes,Residential
7260,5198000,Ellsworth St,57,Jarboe Ave,Tompkins Ave,8/2/2018,Survey,Yes,Residential
7261,5197000,Ellsworth St,87,Cortland Ave,Jarboe Ave,8/2/2018,Survey,Yes,Residential
7262,21180000,Ellsworth St: Crescent Ave Intersection,100,ELLSWORTH ST,Intersection,2/3/2016,Treatment,No,
7263,5202000,Elm St,100,Polk St,Van Ness Ave,10/17/2018,Treatment,Yes,Residential
7264,5205000,Elm St,82,Pierce St,End,8/19/2018,Survey,Yes,Residential
7265,5206000,Elm St,87,End,Scott St,8/19/2018,Survey,Yes,Residential
7266,5204000,Elm St,92,Franklin St,Gough St,10/9/2017,Survey,Yes,Residential
7267,24465000,Elm St: Polk St Intersection,100,POLK ST,Intersection,10/17/2018,Treatment,No,
7268,11170000,Elmhurst Dr,64,Gladiolus Ln,Rossmoor Dr,9/17/2018,Survey,Yes,Residential
7269,5207000,Elmhurst Dr,65,Rossmoor Dr,Gladiolus Ln,9/14/2018,Survey,Yes,Residential
7270,5209000,Elmira St,42,Thomas Ave,Helena St,10/25/2018,Survey,Yes,Residential
7271,5212000,Elmira St,100,Augusta St,Silver Ave,10/17/2018,Treatment,Yes,Residential
7272,5213000,Elmira St,100,End,Thornton Ave,4/5/2018,Treatment,Yes,Residential
7273,5208000,Elmira St,100,Shafter Ave,Thomas Ave,4/5/2018,Treatment,Yes,Residential
7274,5211000,Elmira St,100,End,Augusta St,4/5/2018,Treatment,Yes,Residential
7275,20764000,Elmira St,100,Silver Ave,Intersection,12/11/2014,Treatment,No,
7276,51999000,ELMIRA ST,100,END,Intersection,9/3/1998,Treatment,No,
7277,5215000,Elmwood Way,46,Westwood Dr,Faxon Ave \ Southwood Dr,9/14/2018,Survey,Yes,Residential
7278,5216000,Elmwood Way,51,Faxon Ave \ Southwood Dr,End,9/14/2018,Survey,Yes,Residential
7279,5219000,Elsie St,96,Eugenia Ave \ Virginia Ave,Cortland Ave,12/7/2018,Treatment,Yes,Residential
7280,5217000,Elsie St,84,Coso Ave,Esmeralda Ave,7/27/2018,Survey,Yes,Residential
7281,5220000,Elsie St,88,Cortland Ave,Santa Marina St,7/26/2018,Survey,Yes,Residential
7282,5221000,Elsie St,94,Santa Marina St,Holly Park Cir,7/26/2018,Survey,Yes,Residential
7283,5218000,Elsie St,60,Esmeralda Ave,Virginia Ave,7/19/2017,Survey,Yes,Residential
7284,21259000,Elsie St: Holly Park Cir Intersection,100,HOLLY PARK CIR,Intersection,2/15/2017,Treatment,No,
7285,21251000,Elsie St: Santa Marina St Intersection,100,SANTA MARINA ST,Intersection,2/15/2017,Treatment,No,
7286,5222000,ELWOOD ST,86,MASON ST,OFARRELL ST,10/29/2008,Survey,No,
7287,5225000,Emerson St,84,End,Geary Blvd,10/7/2018,Survey,Yes,Residential
7288,50514000,EMERSON ST,100,END,Intersection,7/17/2007,Treatment,No,
7289,26900000,EMERSON ST,100,GEARY BLVD,Intersection,5/22/2003,Treatment,No,
7290,5226000,Emery Ln,84,Vallejo St,End,10/21/2017,Survey,Yes,Residential
7291,5228000,EMMA ST,79,STOCKTON ST,END,10/29/2008,Survey,No,
7292,5229000,Encanto Ave,83,Anzavista Ave,Terra Vista Ave,10/14/2018,Survey,Yes,Residential
7293,5233000,Encline Ct,76,Del Vale Ave,Marietta Dr,9/6/2018,Survey,Yes,Residential
7294,5232000,Encline Ct,93,End,Del Vale Ave,9/6/2018,Survey,Yes,Residential
7295,50651000,ENCLINE CT,100,END,Intersection,5/13/2009,Treatment,No,
7296,5234000,ENTERPRISE ST,59,FOLSOM ST,END,10/29/2008,Survey,No,
7297,5236000,Entrada Ct,100,End,End,7/3/2018,Treatment,Yes,Residential
7298,5235000,Entrada Ct,100,Borica St,End,7/3/2018,Treatment,Yes,Residential
7299,5237000,Entrada Ct,100,End,End,7/3/2018,Treatment,Yes,Residential
7300,5238000,Entrada Ct,100,End,Borica St,7/3/2018,Treatment,Yes,Residential
7301,22775000,Entrada Ct: End Intersection,100,END,Intersection,7/3/2018,Treatment,No,
7302,22774000,Entrada Ct: End Intersection,100,END,Intersection,7/3/2018,Treatment,No,
7303,5239000,Erie St,91,Folsom St,South Van Ness Ave,8/6/2018,Survey,Yes,Residential
7304,5241000,ERIE ST,71,END,MISSION ST,10/29/2008,Survey,No,
7305,5242000,ERKSON CT,78,POST ST,END,10/29/2008,Survey,No,
7306,26807000,ERKSON CT,100,POST ST,Intersection,5/15/2002,Treatment,No,
7307,5243000,Ervine St,85,Wilde Ave,End,9/9/2018,Survey,Yes,Residential
7308,5246000,Escolta Way,42,31st Ave,Wawona St,8/28/2018,Survey,Yes,Residential
7309,5245000,Escolta Way,77,30th Ave,31st Ave,8/28/2018,Survey,Yes,Residential
7310,5247000,Escondido Ave,84,Constanso Way,34th Ave,8/21/2018,Survey,Yes,Residential
7311,5249000,Esmeralda Ave,100,Lundys Ln,Prospect Ave,8/7/2018,Survey,Yes,Residential
7312,5254000,Esmeralda Ave,42,Franconia St \ Peralta Ave,Brewster St \ Franconia St,7/27/2018,Survey,Yes,Residential
7313,5252000,Esmeralda Ave,100,Alabama St \ Waltham St,Bradford St \ Peralta Ave,7/27/2018,Survey,Yes,Residential
7314,5253000,Esmeralda Ave,100,Bradford St \ Peralta Ave,Franconia St \ Peralta Ave,7/23/2018,Treatment,Yes,Residential
7315,5250000,Esmeralda Ave,52,Winfield St,Elsie St,8/4/2017,Survey,Yes,Residential
7316,21111000,ESMERALDA AVE,100,ALABAMA ST \ WALTHAM ST,Intersection,11/14/2011,Treatment,No,
7317,5258000,Espanola St,62,Matthew Ct,Rosie Lee Ln,10/13/2018,Survey,Yes,Residential
7318,5257000,Espanola St,72,Beatrice Ln,Matthew Ct,10/13/2018,Survey,Yes,Residential
7319,5259000,Esquina Dr,74,Parque Dr,Geneva Ave,6/6/2018,Treatment,Yes,Residential
7320,20427000,ESQUINA DR,100,GENEVA AVE,Intersection,5/16/2000,Treatment,No,
7321,5260000,ESSEX ST,100,FOLSOM ST,LANSING ST,8/10/2009,Survey,No,
7322,5261000,ESSEX ST,100,LANSING ST,HARRISON ST \ I-80 E ON RAMP,8/10/2009,Survey,No,
7323,24524000,ESSEX ST,100,FOLSOM ST,Intersection,3/2/2000,Treatment,No,
7324,5262000,Estero Ave,100,Alviso St,Monticello St,7/3/2018,Treatment,Yes,Residential
7325,5263000,Estero Ave,100,Monticello St,Lunado Way,7/3/2018,Treatment,Yes,Residential
7326,5264000,Estero Ave,77,Lunado Way,Junipero Serra Blvd,11/21/2016,Treatment,Yes,Residential
7327,5265000,Estero Ave,80,Junipero Serra Blvd,Junipero Serra Blvd,11/21/2016,Treatment,Yes,Residential
7328,22741000,Estero Ave: Lunado Way Intersection,100,LUNADO WAY,Intersection,7/3/2018,Treatment,No,
7329,22737000,Estero Ave: Monticello St Intersection,100,MONTICELLO ST,Intersection,7/3/2018,Treatment,No,
7330,5276000,Eucalyptus Dr,45,25th Ave,26th Ave,9/14/2018,Survey,Yes,Residential
7331,5275000,Eucalyptus Dr,50,24th Ave,25th Ave,9/14/2018,Survey,Yes,Residential
7332,5274000,Eucalyptus Dr,56,23rd Ave,24th Ave,9/14/2018,Survey,Yes,Residential
7333,5269000,Eucalyptus Dr,65,19th Ave,20th Ave,9/14/2018,Survey,Yes,Residential
7334,5284000,Eucalyptus Dr,65,Springfield Dr,Everglade Dr,9/14/2018,Survey,Yes,Residential
7335,5268000,Eucalyptus Dr,65,Gladiolus Ln,19th Ave,9/14/2018,Survey,Yes,Residential
7336,5267000,Eucalyptus Dr,71,Junipero Serra Blvd,Gladiolus Ln,9/14/2018,Survey,Yes,Residential
7337,5271000,Eucalyptus Dr,78,21st Ave,22nd Ave,9/14/2018,Survey,Yes,Residential
7338,5270000,Eucalyptus Dr,79,20th Ave,21st Ave,9/14/2018,Survey,Yes,Residential
7339,5272000,Eucalyptus Dr,79,22nd Ave,Melba Ave,9/14/2018,Survey,Yes,Residential
7340,5277000,Eucalyptus Dr,82,26th Ave,Inverness Dr,9/14/2018,Survey,Yes,Residential
7341,5281000,Eucalyptus Dr,84,Sylvan Dr,Middlefield Dr,9/14/2018,Survey,Yes,Residential
7342,5280000,Eucalyptus Dr,84,Meadowbrook Dr,Sylvan Dr,9/14/2018,Survey,Yes,Residential
7343,5286000,Eucalyptus Dr,85,Havenside Dr,Westmoorland Dr,9/14/2018,Survey,Yes,Residential
7344,5279000,Eucalyptus Dr,85,Forest View Dr,Meadowbrook Dr,9/14/2018,Survey,Yes,Residential
7345,5287000,Eucalyptus Dr,85,Westmoorland Dr,Clearfield Dr,9/14/2018,Survey,Yes,Residential
7346,5282000,Eucalyptus Dr,85,Middlefield Dr,Riverton Dr,9/14/2018,Survey,Yes,Residential
7347,5278000,Eucalyptus Dr,85,Inverness Dr,Forest View Dr,9/14/2018,Survey,Yes,Residential
7348,5285000,Eucalyptus Dr,85,Everglade Dr,Havenside Dr,9/14/2018,Survey,Yes,Residential
7349,5283000,Eucalyptus Dr,89,Riverton Dr,Springfield Dr,9/14/2018,Survey,Yes,Residential
7350,5266000,Eucalyptus Dr,93,Junipero Serra Blvd \ Ocean Ave,Junipero Serra Blvd,9/14/2018,Survey,Yes,Residential
7351,5273000,Eucalyptus Dr,91,Melba Ave,23rd Ave,10/16/2017,Treatment,Yes,Residential
7352,23302000,Eucalyptus Dr,100,Havenside Dr,Intersection,7/12/2013,Treatment,No,
7353,23305000,Eucalyptus Dr,100,Westmoorland Dr,Intersection,7/12/2013,Treatment,No,
7354,23125000,Eucalyptus Dr,100,Forest View Dr,Intersection,8/2/2010,Treatment,No,
7355,23131000,Eucalyptus Dr,100,Sylvan Dr,Intersection,8/2/2010,Treatment,No,
7356,33504000,Eucalyptus Dr,100,Meadowbrook Dr,Intersection,8/2/2010,Treatment,No,
7357,23138000,EUCALYPTUS DR,100,RIVERTON DR,Intersection,7/25/2008,Treatment,No,
7358,23298000,EUCALYPTUS DR,100,SPRINGFIELD DR,Intersection,7/25/2008,Treatment,No,
7359,5296000,Euclid Ave,83,Parker Ave,Commonwealth Ave,10/7/2018,Survey,Yes,Residential
7360,5288000,Euclid Ave,84,Bush St \ Presidio Ave,Masonic Ave,10/7/2018,Survey,Yes,Arterial
7361,5292000,Euclid Ave,84,Manzanita Ave,Iris Ave,10/7/2018,Survey,Yes,Residential
7362,5289000,Euclid Ave,84,Masonic Ave,Laurel St,10/7/2018,Survey,Yes,Residential
7363,5290000,Euclid Ave,84,Laurel St,Collins St,10/7/2018,Survey,Yes,Residential
7364,5298000,Euclid Ave,85,Jordan Ave,Palm Ave,10/7/2018,Survey,Yes,Residential
7365,5297000,Euclid Ave,85,Commonwealth Ave,Jordan Ave,10/7/2018,Survey,Yes,Residential
7366,5295000,Euclid Ave,85,Spruce St,Parker Ave,10/7/2018,Survey,Yes,Residential
7367,5294000,Euclid Ave,85,Heather Ave,Spruce St,10/7/2018,Survey,Yes,Residential
7368,5291000,Euclid Ave,85,Collins St,Manzanita Ave,10/7/2018,Survey,Yes,Residential
7369,5293000,Euclid Ave,85,Iris Ave,Heather Ave,10/7/2018,Survey,Yes,Residential
7370,5299000,Euclid Ave,86,Palm Ave,Arguello Blvd,10/7/2018,Survey,Yes,Residential
7371,26926000,Euclid Ave,100,Iris Ave,Intersection,9/19/2013,Treatment,No,
7372,26927000,Euclid Ave,100,Heather Ave,Intersection,9/19/2013,Treatment,No,
7373,26929000,Euclid Ave,100,Spruce St,Intersection,9/19/2013,Treatment,No,
7374,26931000,Euclid Ave,100,Parker Ave,Intersection,9/19/2013,Treatment,No,
7375,27222000,Euclid Ave,100,Jordan Ave,Intersection,9/19/2013,Treatment,No,
7376,27228000,Euclid Ave,100,Palm Ave,Intersection,9/19/2013,Treatment,No,
7377,26911000,Euclid Ave,100,Laurel St,Intersection,7/12/2011,Treatment,No,
7378,26912000,Euclid Ave,100,Collins St,Intersection,7/12/2011,Treatment,No,
7379,26914000,Euclid Ave,100,Manzanita Ave,Intersection,7/12/2011,Treatment,No,
7380,26845000,EUCLID AVE,100,MASONIC AVE,Intersection,8/9/2010,Treatment,No,
7381,5314000,Eugenia Ave,94,Banks St,Prentiss St,8/18/2018,Survey,Yes,Residential
7382,5300000,Eugenia Ave,87,Mission St,Coleridge St,8/8/2018,Survey,Yes,Residential
7383,5301000,Eugenia Ave,98,Coleridge St,Prospect Ave,8/8/2018,Survey,Yes,Residential
7384,5313000,Eugenia Ave,99,Folsom St,Banks St,7/27/2018,Survey,Yes,Residential
7385,5304000,Eugenia Ave,69,Elsie St \ Virginia Ave,Bonview St,7/26/2018,Survey,Yes,Residential
7386,5305000,Eugenia Ave,87,Bonview St,Bennington St \ Bocana St,7/26/2018,Survey,Yes,Residential
7387,5303000,Eugenia Ave,87,Winfield St,Elsie St \ Virginia Ave,7/26/2018,Survey,Yes,Residential
7388,5307000,Eugenia Ave,64,Wool St,Andover St,7/21/2018,Survey,Yes,Residential
7389,5308000,Eugenia Ave,73,Andover St,Moultrie St,7/21/2018,Survey,Yes,Residential
7390,5309000,Eugenia Ave,86,Moultrie St,Anderson St,7/21/2018,Survey,Yes,Residential
7391,5306000,Eugenia Ave,86,Bennington St \ Bocana St,Wool St,7/21/2018,Survey,Yes,Residential
7392,5311000,Eugenia Ave,87,Ellsworth St,Gates St,7/21/2018,Survey,Yes,Residential
7393,5310000,Eugenia Ave,88,Anderson St,Ellsworth St,7/21/2018,Survey,Yes,Residential
7394,5312000,Eugenia Ave,99,Gates St,Folsom St,7/21/2018,Survey,Yes,Residential
7395,21224000,Eugenia Ave,100,Wool St,Intersection,10/24/2014,Treatment,No,
7396,21085000,Eugenia Ave,100,Folsom St,Intersection,11/18/2013,Treatment,No,
7397,5316000,Eureka St,89,17th St,Market St,8/16/2018,Survey,Yes,Collector
7398,5317000,Eureka St,100,Market St,18th St,8/16/2018,Survey,Yes,Residential
7399,5318000,Eureka St,100,18th St,19th St,4/13/2018,Treatment,Yes,Residential
7400,5323000,Eureka St,100,22nd St,23rd St,4/13/2018,Treatment,Yes,Residential
7401,5320000,Eureka St,100,20th St,21st St,4/13/2018,Treatment,Yes,Residential
7402,5319000,Eureka St,100,19th St,20th St,4/13/2018,Treatment,Yes,Residential
7403,5322000,Eureka St,100,21st St,22nd St,4/13/2018,Treatment,Yes,Residential
7404,5321000,Eureka St,100,21st St,21st St,4/13/2018,Treatment,Yes,Residential
7405,5330101,Evans Ave,47,Jennings St \ Middle Point Rd,Keith St,10/21/2018,Survey,Yes,Arterial
